1,start -1 10 -13 -12 -11 end , 5
2,start -1 10 -7 -12 -11 end , 5
81,start -1 10 11 12 13 end , 5
2,start -1 10 11 12 5 end , 5
1,start -1 10 11 end , 3
1,start -1 10 13 end , 3
2,start -1 10 7 8 -9 end , 5
1,start -1 12 -11 -10 -9 -8 -7 -2 13 end , 9
5,start -1 12 13 -4 -9 -8 -5 end , 7
2,start -1 12 13 4 5 end , 5
12,start -1 12 13 end , 3
1,start -1 12 3 4 11 2 13 end , 7
2,start -1 12 5 4 13 end , 5
3,start -1 2 -9 -8 -7 12 13 end , 7
4,start -1 2 11 12 13 end , 5
8,start -1 2 3 -10 -9 -8 -5 end , 7
4,start -1 2 3 12 13 end , 5
6,start -1 2 3 4 11 12 13 end , 7
2,start -1 2 3 4 5 6 7 12 13 end , 9
5,start -1 2 3 4 9 end , 5
2,start -1 4 -7 10 -3 -2 -9 -8 13 end , 9
3,start -1 4 5 10 11 12 13 end , 7
3,start -1 4 5 6 7 end , 5
1,start -1 4 7 12 13 end , 5
1,start -1 6 -11 -10 -9 end , 5
1,start -1 6 -5 -4 -3 end , 5
5,start -1 6 11 12 13 end , 5
1,start -1 6 7 10 11 12 13 end , 7
17,start -1 6 7 12 13 end , 5
2,start -1 6 7 8 13 end , 5
2,start -1 6 7 8 9 10 11 12 13 end , 9
5,start -1 6 7 8 9 end , 5
2,start -1 6 7 end , 3
2,start -1 8 13 end , 3
1,start -1 8 9 -2 -7 end , 5
1,start -1 8 9 10 -3 -2 11 12 13 end , 9
27,start -1 8 9 10 11 12 13 end , 7
1,start -1 8 9 6 11 12 13 end , 7
2,start -1 8 9 6 7 end , 5
98,start -11 -10 -1 12 13 end , 5
3,start -11 -10 -1 6 13 end , 5
1,start -11 -10 -1 6 3 4 5 12 13 end , 9
3,start -11 -10 -13 -12 1 2 3 4 5 end , 9
7,start -11 -10 -13 -12 1 2 3 end , 7
3,start -11 -10 -13 -12 1 end , 5
8,start -11 -10 -13 -12 5 6 7 8 9 end , 9
4,start -11 -10 -13 -12 5 end , 5
6,start -11 -10 -13 8 9 end , 5
1,start -11 -10 -13 end , 3
23,start -11 -10 -3 -2 -1 12 13 end , 7
1,start -11 -10 -3 -2 -1 end , 5
6,start -11 -10 -3 -2 13 end , 5
4,start -11 -10 -3 12 13 end , 5
1,start -11 -10 -3 end , 3
3,start -11 -10 -5 -4 -13 end , 5
8,start -11 -10 -5 -4 -3 -2 -1 12 13 end , 9
5,start -11 -10 -5 -4 -3 end , 5
2,start -11 -10 -5 -4 -7 -6 -2 -1 end , 8
2,start -11 -10 -5 -4 13 end , 5
25,start -11 -10 -5 12 13 end , 5
2,start -11 -10 -5 end , 3
7,start -11 -10 -6 -1 12 13 end , 6
1,start -11 -10 -7 -2 -1 12 13 end , 7
3,start -11 -10 -7 -4 -13 end , 5
2,start -11 -10 -7 -6 -5 12 13 end , 7
1,start -11 -10 -7 -6 -5 8 9 end , 7
2,start -11 -10 -7 -6 -5 end , 5
6,start -11 -10 -7 12 9 8 13 end , 7
4,start -11 -10 -9 -12 -11 -10 -9 end , 7
